Topic,Count,Name,Representation,Representative_Docs
1194,19,1194_warns unprecedented_unprecedented global_agrifish_agrifish news,"['warns unprecedented', 'unprecedented global', 'agrifish', 'agrifish news', 'hunger crisis', 'global hunger', 'chief warns', 'unprecedented', 'hunger', 'warns']","['UN chief warns of unprecedented global hunger crisis #Agrifish #news 752', 'UN chief warns of unprecedented global hunger crisis #Agrifish #news 900', 'UN chief warns of unprecedented global hunger crisis #Agrifish #news 431']"
1195,19,1195_ukrainians fight_europe doing_doing stopputin_tell ukrainians,"['ukrainians fight', 'europe doing', 'doing stopputin', 'tell ukrainians', 'fight world', 'stopputin tell', 'world europe', 'fight', 'tell', 'europe ukrainians']","['You always tell, Ukrainians fight for the whole world and #Europe. Then why are we doing this alone????#StopPutin', 'You always tell, Ukrainians fight for the whole world and #Europe. Then why are we doing this alone??? #StopPutin', 'You always tell, Ukrainians fight for the whole world and #Europe. Then why are we doing this alone????? #StopPutin']"
1196,19,1196_copy link_share copy_live sharing_meet live,"['copy link', 'share copy', 'live sharing', 'meet live', 'link meet', 'copy', 'wintersolstice', 'sharing', 'straykids', 'ambulancestrike']","['Share Copy link Meet live sharing #WinterSolstice #Zelensky #بندر_القرهدي #RRRForOscars #ambulancestrike #Ukraine #其實點點用其 #UkraineRussianWar #الدولار #Oscars2023 #ตึกชมพูสาขาไทย #Oscars #StrayKids #KCPE2022 #kuldeepyadav', 'Share Copy link Meet live sharing #WinterSolstice #Zelensky #بندر_القرهدي #RRRForOscars #VardyvRooney #กองทัพเรือ #ambulancestrike #Ukraine #NaatuNaatu #ACOTY2022KIMTAEHYUNG #UkraineRussianWar #其實點實點用 #KCPE2022 #StrayKids #ACOTY2022LISA', 'Share Copy Link Meet live sharing #WinterSolstice #Ukraine #Zelensky #ambulancestrike #ACOTY2022LISA #ตึกชมพูสาขาไทย #الدولار $#UkraineRussianWar #kuldeepyadav #KCPE2022 #StrayKids #CHAEUNWOO #PunjabAssembly #EmilyInParis3 #BBCSPOTY']"
1197,19,1197_nato experts_trainingleaders_2023 day_protection civilians,"['nato experts', 'trainingleaders', '2023 day', 'protection civilians', 'course', 'osce', 'experience', 'missions', 'ios', 'trainers']","['🇧🇪#BelgianGenericTraining Participants received feedback from #UN #OSCE &amp; #NATO experts following their presentations on missions in Kosovo🇽🇰Iraq🇮🇶 &amp; Mali🇲🇱. then shared their knowledge on #CivilMilitaryCoordination, #RespectForDiversity &amp; #NaturalResources', '🇧🇪 #BelgianGenericTraining End of this first week of intense learning!💪Today, we had the chance to welcome #UN #OSCE #NATO experts sharing their experience about #missions. Later, spoke about #CCM on the field considering #diversity and #CulturalAwareness.', 'The application period for our next #NATO related course ”Approaches to the Protection of Civilians Course in NATO and UN Peace Operations” has started! Submit your application before July 1st. #NATOUNPOC #trainingleaders']"
1198,19,1198_vaccinequity_thank good_pleased meet_end covid19,"['vaccinequity', 'thank good', 'pleased meet', 'end covid19', 'discussed', 'covid19 pandemic', 'pleased', 'strengthening', 'global health', 'health impacts']","['Thank you for a very good meeting, , Foreign Minister of #Norway, on strengthening and global pandemic preparedness; #VaccinEquity; sexual and reproductive health; our efforts to prevent sexual harassment; and the health impacts of the war in #Ukraine.', ""Pleased to meet with 🇱🇺 Foreign Minister Jean Asselborn &amp; discuss the need for #VaccinEquity to end the #COVID19 pandemic. We also discussed 's response to humanitarian crises in #Ukraine &amp; #Ethiopia. I stressed the importance of continuous &amp; safe access to meet health needs."", 'Pleased to meet with my sister Representative . Discussed #VaccinEquity to end the #COVID19 pandemic; strengthening preparedness &amp; response for future threats; improving global health architecture; digital technology to broaden access to health &amp; on ’s work in #Ukraine']"
1199,19,1199_covenant_covenant civil_political rights_civil amp,"['covenant', 'covenant civil', 'political rights', 'civil amp', 'article covenant', 'lugansk', 'covenant economic', 'self determination', 'amp political', 'right self']","['The people of #Donbass- #Donetsk, #Lugansk, #Kherson &amp; #Zaporizhzhia have the right to self-determination per Article 1(1) of the #UN Covenant on Civil &amp; Political Rights and Article 1(1) of the International Covenant on Economic, Social &amp; Cultural Rights. #Referendum 💞🇷🇺', 'The people of #Donbass- #Donetsk, #Lugansk, #Kherson &amp; #Zaporizhzhia have the right to self-determination per Article 1(1) of the #UN Covenant on Civil &amp; Political Rights and Article 1(1) of the International Covenant on Economic, Social &amp; Cultural Rights. #Referendum 💞🇷🇺❗️', 'The people of #Donetsk, #Lugansk, #Kherson &amp; #Zaporizhzhia have the right to self-determination per Article 1(1) of the UN Covenant on Civil &amp; Political Rights and Article 1(1) of the International Covenant on Economic, Social &amp; Cultural Rights. #Referendum #SelfDetermination']"
1200,19,1200_ardern_zealand_new zealand_jacinda ardern,"['ardern', 'zealand', 'new zealand', 'jacinda ardern', 'jacinda', 'morally bankrupt', 'bankrupt', 'morally', 'failure ukraine', 'decries']","['#QuoteoftheWeek: New Zealand\'s Ardern decries UN \'failure\' over #Ukraine war, reiterated her call for reform of the body while describing Moscow\'s role as ""morally bankrupt. #RussiaUkraineWar #ThaiPBSWorld', 'New Zealand Prime Minister Jacinda Ardern says the United Nations has failed in its response to the #war in #Ukraine. Ms Ardern made the stark assessment of the #UN’s “#morally bankrupt position” #UkraineWar China 🇨🇳 Control’s the #UN 🇺🇳', 'New Zealand\'s Ardern decries UN \'failure\' over #Ukraine war, reiterated her call for reform of the bodym while describing Moscow\'s role as ""morally bankrupt. #RussiaUkraineWar #ThaiPBSWorld']"
1201,19,1201_exports amid_help feed_amid global_return icrc,"['exports amid', 'help feed', 'amid global', 'return icrc', 'bread commitments', 'gets return', 'countries purchase', 'hopes restore', 'feed world', 'ukraine grain']","['🇺🇦#UKRAINE #RUSSIA #US #EU #News 07/21/2022 Ukraine &amp; Russia deal for 22 million tons of Ukraine #grain #exports amid global #hunger concerns,#prices rose 54% #Ethiopia &amp; 187% #Sudan #UN,#Turkey,Russia &amp; Ukraine to control #food #cargo in mined waters', 'Ukraine - is the grain to the world, and peace to Europe, what Ukraine gets in return??? UN, ICRC, we help you feed the world with our bread, but what have you done for us? Where are your commitments #saveazovstaldefenders #Olenivka #russiaisaterroriststate', 'Ukraine - is the grain to the world, and peace to Europe, what Ukraine gets in return??? UN, ICRC, we help you feed the world with our bread, but what have you done for us? Where are your commitments? #saveazovstaldefenders #olenivka2972022 #russiaisaterroriststate']"
1202,19,1202_closetheskyoverukraine noflyzone_noflyzone closethesky_ukraine closetheskyoverukraine_closethesky stopputin,"['closetheskyoverukraine noflyzone', 'noflyzone closethesky', 'ukraine closetheskyoverukraine', 'closethesky stopputin', 'stopputinnow ukraine', 'stopputin stopputinnow', 'stoprussia close', 'ukraine stoprussia', 'closetheskyoverukraine', 'noflyzone']","['CLOSE THE SKY OVER UKRAINE 😭😭😭😭😭😭😭😭😭😭 #ClosetheSkyoverUkraine #NoFlyZone #CloseTheSky #StopPutin #StopPutinNOW #Ukraine️ #stoprussia❗️', 'CLOSE THE SKY OVER UKRAINE 😭😭😭😭😭😭😭😭😭😭 #ClosetheSkyoverUkraine #NoFlyZone #CloseTheSky #StopPutin #StopPutinNOW #Ukraine️ #stoprussia!!', 'CLOSE THE SKY OVER UKRAINE 😭😭😭😭😭😭😭😭😭😭 #ClosetheSkyoverUkraine #NoFlyZone #CloseTheSky #StopPutin #StopPutinNOW #Ukraine️ #stoprussia😖']"
1203,19,1203_save defenders_defenders_defenders mariupol_lot weapon,"['save defenders', 'defenders', 'defenders mariupol', 'lot weapon', 'ukraine lot', 'azovstal', 'mariupol save', 'defenders ukraine', 'azovstal save', 'weapon standwithukraine']","['Save the defenders of Mariupol! Save the defenders of Azovstal! Save the defenders of Ukraine! Help Ukraine by a lot amount of weapon to defend the Whole World! #SaveTheDefendersofMariupol #SaveUkraine #StandWithUkraine️ #RussiaIsATerroristState', 'Save the defenders of Mariupol! Save the defenders of Azovstal! Save the defenders of Ukraine! Help Ukraine by a lot amount of weapon! #StandWithUkraine🇺🇦', 'Save the defenders of Mariupol! Save the defenders of Azovstal! Save the defenders of Ukraine! Help Ukraine by a lot amount of weapon! #StandWithUkraine']"
1204,19,1204_stops fighting_ukraine fear_stops_soviets,"['stops fighting', 'ukraine fear', 'stops', 'soviets', 'ukraine stops', 'war end', 'diplomacy russia', 'russia stops', 'ending war', 'treaty jassy']","[""#Ukraine is fighting against #Putin &amp; #Russia's imperialism. The #UN collective security system has failed Ukraine. The fear of nuclear war has paralyzed the civilized world. Brave Ukraine is fighting alone. The least the world can do is to send the best weapons to Ukraine. ️"", 'End the genocidal occupation of #Ukraine Putin abandoned diplomacy in favour of invasion. He must now leave and restore diplomacy. If Russia stops fighting, there is no war. If Ukraine stops fighting, there will be no Ukraine', '#Ukraine️ gets in return is human lives, towns, cities, homes not destroyed children saved borders of 1792 treaty of jassy would satisfy most parties peaceful demilitarised independent neutral #Ukraine️ as protectorate no #NATO threat no crazy #Putin']"
1205,19,1205_mexico border_border_deadliest_border world,"['mexico border', 'border', 'deadliest', 'border world', 'migration', 'migrant invasion', 'route world', 'undocumented', 'migrants', 'replacement migration']","['Why is the US southern border open to an unprecedented illegal migrant invasion? * The Biden admin is serving the UN Replacement Migration agenda. * * #Biden #NFTs #BTC #ETH #inflation #Border #Metaverse #USA #nftart #Metaverse', ""UN migration study deems US-Mexico border 'deadliest' land route in the world based on 2021 numbers #news #topstories #berkleybearnews"", ""As we celebrate freedom today, this is happening at our border! Thanks #Biden voters! #DemocratsHateAmerica UN migration study deems US-Mexico border 'deadliest' land route in the world based on 2021 numbers""]"
1206,19,1206_meeting end_today asked_statement today_pose major,"['meeting end', 'today asked', 'statement today', 'pose major', 'ukraine pose', 'end week', 'lethal weapons', 'pose', 'securitycouncil meeting', 'stabilisation']","['In our statement today we asked for a UN #SecurityCouncil meeting by the end of the week, preferrably tomorrow, on the supplies of lethal weapons by the Ruzzia countrie to #Ukraine which pose a major stabilisation to international peace and security', 'In our statement today we asked for a UN #SecurityCouncil meeting by the end of the week, preferrably tomorrow, on the supplies of lethal weapons by the Western countries to #Ukraine which pose a major stabilisation to international peace and security #RussiaIsATerroristState', 'In our statement today we asked for a UN #SecurityCouncil meeting by the end of the week, preferrably tomorrow, on the supplies of lethal weapons by the PaRussia country to #Ukraine which pose a major stabilisation to international peace and security']"
1207,19,1207_win_ukraine win_difference wins_catch 22,"['win', 'ukraine win', 'difference wins', 'catch 22', 'win russia', 'drown', 'wins war', 'wins', 'damned', 'ukraine flattened']","['At the end #Ukraine will win, wanna bet? Even if russian animals overrun the country, Ukrainians will turn to guerrilla like tactics, sooner or later russian bandits will run just as they did from Afghanistan. BTW. ANYONE WHO SUPPORTS RUSSIA IN THIS WAR PLS UNFOLLOW ME &amp; GFY', '#Ukraine should not have to ""win"" or ""survive"" #Ukraine should have been protected from invasion by every #Democratic Nation on #Earth #EU #USA should not be pawn in West\'s experiment to test #Putin and #Russia capabilities or an expendable source to drain them', '#ukraine CATCH-22: “open your eyes….it doesn’t make a damned bit of difference who wins the war to someone who’s dead.” THE REAL CATCH-22: BUT IT MAKES A DAMNED BIT OF DIFFERENCE WHO WINS THE WAR IN UKRAINE TO FREE PEOPLES WHO’RE ALIVE! Give Ukraine the weapons to win.']"
1208,19,1208_malaysia_singapore_previously approved_time years,"['malaysia', 'singapore', 'previously approved', 'time years', 'approved security', 'imposed sanctions', 'unilateral sanctions', 'russian banks', 'products russia', 'sanctions russian']","['❗️ #Singapore imposed sanctions on #Russian banks and banned exports of dual-use products to Russia. For the first time in many years, Singapore imposes sanctions that have not been previously approved by the #UN Security Council.', '#Singapore imposed sanctions against #Russian banks and banned the export of dual-use products to Russia For the first time in many years, Singapore is imposing sanctions that have not been previously approved by the #UN Security Council #UkraineWar', '❗️Singapore imposed sanctions against Russian banks and banned the export of dual-use products to Russia For the first time in many years, Singapore is imposing sanctions that have not been previously approved by the UN Security Council. #ukraine #StandWithUkraine️']"
1209,19,1209_griffiths_martin griffiths_martin_moscow sunday,"['griffiths', 'martin griffiths', 'martin', 'moscow sunday', 'humanitarian ceasefire', 'griffiths moscow', 'coordinator martin', 'ceasefire ukraine', 'arrangements humanitarian', 'griffiths explore']","[""UN chief says Martin Griffiths will travel to Moscow on Sunday and then to Kyiv. The Secretary-General announced Monday that he'd asked Griffiths to explore possible agreements &amp; arrangements for a humanitarian ceasefire in #Ukraine."", 'The United Nations is sending top #UN official Martin Griffiths to #Moscow on Sunday to try to secure a humanitarian ceasefire in #Ukraine.', '🇷🇺 #Russia 🇺🇦 #Ukraine The UN Humanitarian Coordinator, Martin Griffiths, will travel to Moscow on Sunday for talks on the Ukraine war and then to Kyiv. Griffiths wants to try to achieve a ""humanitarian ceasefire"" in Ukraine, UN Secretary-General António Guterres said on Friday.']"
1210,19,1210_truce ethiopian_actively amp_amp intentionally_essential aid,"['truce ethiopian', 'actively amp', 'amp intentionally', 'essential aid', 'gov actively', 'amp essential', 'intentionally preventing', 'called humanitarian', 'humanitarian truce', 'preventing food']","['Despite ’s so called “humanitarian truce”, the #Ethiopian gov’t actively &amp; intentionally preventing food &amp; other essential aid from reaching #Tigray.', 'Despite ’s so called “humanitarian truce”, the #Ethiopian gov’t actively &amp; intentionally preventing food &amp; other essential aid from reaching #Tigray. #HumanitarianAidForTigrayNow.', 'Despite ’s so called “humanitarian truce”, the #Ethiopian gov’t actively &amp; intentionally preventing food &amp; other essential aid from reaching #Tigray. #HumanitarianAidForTigrayNow']"
1211,19,1211_black americans_blm_blacktwitter_trumpannouncement,"['black americans', 'blm', 'blacktwitter', 'trumpannouncement', 'black', 'votingrights', '1860', 'hbcu', 'decade people', 'slavery']","['African Americans, There MAY be no greater sign for us to galvanize, organize and secure our future than the #TrumpAnnouncement! It’s time to seize our destiny and build our future through Decade For People Of African Descent! The time for inaction is GONE! #RiseOrDie #BLM', 'If #TrumpAnnouncement doesn’t make African Americans and Black Americans URGENTLY WORK W thru #TheDecade to build our modern, liberated and prosperous civilization, I’m not sure what will! #BlackLiberation #BlackPower #UN #BLM #BlackEconomicDevelopment #BlackEmpowerment #HBCU', 'Say it ain’t so Joe!?! I’ve heard that millions of Black Voters BELIEVE that you are not going to help us utilize Decade For People Of African Descent! IF TRUE millions of Black Americans are very disappointed! #PresidentsDay #Biden #POTUS #BlackVoters #BlackHistoryMonth #BLM']"
1212,19,1212_ukraine close_stoprussia stop_stop russian_russian aggression,"['ukraine close', 'stoprussia stop', 'stop russian', 'russian aggression', 'aggression ukraine', 'council stopputin', 'ukraine exclude', 'stopputin stoprussia', 'exclude russia', 'exclude']","['STOP RUSSIAN AGGRESSION AGAINST #UKRAINE. CLOSE THE SKY OVER UKRAINE! EXCLUDE RUSSIA FROM THE SECURITY COUNCIL! #StopPutin #StopRussia !!!!!!!!', 'STOP RUSSIAN AGGRESSION AGAINST #UKRAINE. CLOSE THE SKY OVER UKRAINE! EXCLUDE RUSSIA FROM THE SECURITY COUNCIL! #StopPutin #StopRussia ! !!!! !!!!', 'STOP RUSSIAN AGGRESSION AGAINST #UKRAINE. CLOSE THE SKY OVER UKRAINE! EXCLUDE RUSSIA FROM THE SECURITY COUNCIL! #StopPutin #StopRussia!!!!!!!!!!']"
1213,19,1213_stoprussia close_ukraine exclude_council stopputin_exclude russia,"['stoprussia close', 'ukraine exclude', 'council stopputin', 'exclude russia', 'stopputin stoprussia', 'exclude', 'russia security', 'sky ukraine', 'close sky', 'sky']","['❗️❗️❗️ Close the sky over #Ukraine! Exclude russia from the Security Council! #StopPutin #StopRussia', '🙏 Close the sky over #Ukraine! Exclude russia from the Security Council! #StopPutin #StopRussia', '⚠️⚠️⚠️ Close the sky over #Ukraine! Exclude russia from the Security Council! #StopPutin #StopRussia']"
1214,19,1214_children close_killing children_stop killing_stoprussia stop,"['children close', 'killing children', 'stop killing', 'stoprussia stop', 'council stopputin', 'killing', 'ukraine exclude', 'stopputin stoprussia', 'exclude russia', 'exclude']","['Stop killing our children! Close the sky over #Ukraine,! Exclude russia from the Security Council! #StopPutin #StopRussia!!!!!!', 'Stop killing our children! Close the sky over #Ukraine! Exclude russia from the Security Council,! #StopPutin #StopRussia!!!!!!', 'Stop killing our children! Close the sky over #Ukraine! Exclude russia from the Security Council! #StopPutin #StopRussia !!!!!!!!']"
1215,19,1215_children close_killing children_stop killing_stoprussia stop,"['children close', 'killing children', 'stop killing', 'stoprussia stop', 'council stopputin', 'killing', 'ukraine exclude', 'stopputin stoprussia', 'exclude russia', 'exclude']","['Stop killing our children! Close the sky over #Ukraine! Exclude russia from the Security Council! #StopPutin #StopRussia‼️❗️🙏🇺🇦', 'Stop killing our children! Close the sky over #Ukraine! Exclude russia from the Security Council! #StopPutin #StopRussia‼️‼️‼️', 'Stop killing our children! Close the sky over #Ukraine! Exclude russia from the Security Council! #StopPutin #StopRussia‼️🙏🏻']"
1216,19,1216_fascist russia_putinwarcriminal war_compliments_crimes compliments,"['fascist russia', 'putinwarcriminal war', 'compliments', 'crimes compliments', 'bloody shame', 'fascist', 'shame putinwarcriminal', 'member securitycouncil', 'securitycouncil aka', 'aka fascist']","[""War crimes. Compliments of the current chair of the #UN #SecurityCouncil, #fascist #Russia. It's a bloody shame. #PutinWarCriminal"", ""War crimes. Compliments of #fascist #Russia, permanent member of the #UN #SecurityCouncil. It's a bloody shame. #PutinWarCriminal"", ""War crimes. Compliments of a permanent member of the #UN #SecurityCouncil, aka #fascist #Russia. It's a bloody shame #PutinWarCriminal""]"
1217,19,1217_china uae_uae_india uae_amp uae,"['china uae', 'uae', 'india uae', 'amp uae', 'uae abstained', 'india china', 'uae abstaining', 'uae china', 'india amp', 'abstaining']","[""Why the Fi*k they' blamed #India #China #UAE for not vote to UN security council, what had UN done to #StopWar what had #Biden done or any Western countries.. Cus #war is our enemies now Not #Russia or #Ukraine n i hvnt seen NATO or UN still exist either.."", ""Screw #China #UAE and #India this morning. Couldn't vote, sorry wouldn't vote on the UN security council resolution demanding Russia cease attacks, this to also show #Ukraine support, so they abstained. They also, showed the world they back Putin. #IStandWithUkraine"", 'India, China, UAE Abstain From UN Resolution Vote Against Russian Invasion Of Ukraine #India #UAE #RussiaUkraineWar #UkraineInvasion Read:']"
1218,19,1218_eu osce_russia retreat_osce_nato kyiv,"['eu osce', 'russia retreat', 'osce', 'nato kyiv', 'الحرب_الروسية_الأكرانية', 'ww3 major', 'ukraine bundestag', 'uk osce', 'russiaukraineconflict germany', 'railway stations']","['Germany REFUSES to send ALL types of weapons to Ukraine Bundestag Defense Commissioner Eva Hegl has claimed #Germany “can\'t just supply everything""citing defense concerns- after some politicians urged Berlin to send heavy weaponry to Kiev. #Ukraine️ #Europe #UN #USA #EU #Russia', '#Russian forces #strike #railway stations in #Ukraine following #US officials\' visit to the country: is failing"" in its ""#war aims"". 4/5 #Ukraine #UkraineWar #NATO #EU #UN #OSCE', '#Russia in #retreat: #Putin appears to admit #defeat in the #Battle for #Kyiv - Why Russia’s retreat from Kyiv is a big #win for #Ukraine &amp; a painful personal defeat for Putin / #UkraineWar #war #NATO #EU #UN #OSCE']"
1219,19,1219_khalid_asadullah_asadullah khalid_sayyaf,"['khalid', 'asadullah', 'asadullah khalid', 'sayyaf', 'rasul sayyaf', 'abdul rasul', 'rasul', 'opium', 'abdul', 'drug lord']","[""#MSC2023 Afghan #opium kingpin, #UN worker murdering, #WarCriminal Asadullah Khalid was at #MSC2020 Khalid's bio: Khalid's a Lieutenant of #NATO ally Abdul Rasul Sayyaf Sayyaf employed trained &amp; mentored 9/11's KSM ⬇️⬇️⬇️?? See the pattern yet ?? ⬇️⬇️⬇️"", ""#NATO is allied to: Abdul Rasul Sayyaf, international terrorist mastermind who trained the 1993 #WTC bomber &amp; 9/11's KSM: Asadullah Khalid, murderous drug lord accused of ordering the murder of 5 #UN workers in 2007: #DisbandNATO"", ""#NATO is allied to: Abdul Rasul Sayyaf, international terrorist mastermind who trained the 1993 #WTC bomber &amp; 9/11's KSM: Asadullah Khalid, an Afghan drug lord accused of ordering the murder of 5 #UN workers in 2007: #DisbandNATO""]"
1220,19,1220_stablecoin_agency accepts_donations worth_5m help,"['stablecoin', 'agency accepts', 'donations worth', '5m help', 'worth 5m', 'accepts stablecoin', 'stablecoin donations', 'accepts', 'donations', '5m']","['#Ukraine #Donations #Stablecoin #UnitedNations UN agency accepts first stablecoin donations worth $2.5M to help Ukrainian refugees -', 'UN agency accepts first stablecoin donations worth $2.5M to help Ukrainian refugees #Ukraine #Donations #Stablecoin #UnitedNations', '#Ukraine #Donations #Stablecoin UN agency accepts first stablecoin donations worth $2.5M to help Ukrainian refugees']"
1221,19,1221_kunama amp_brink extermination_groups tigray_tigray kunama,"['kunama amp', 'brink extermination', 'groups tigray', 'tigray kunama', 'g20 failed', 'protect minority', 'existential consequences', 'amp irob', 'amp g20', 'kunama']","['World leaders and members of the &amp; G20, has failed to protect minority groups in #Tigray such as the Kunama &amp; Irob people. They are suffering existential consequences and are at the brink of extermination #CallItAGenocide #569DaysOfTigrayGenocide', 'World leaders and members of the &amp; G20, has failed to protect minority groups in #Tigray such as the Kunama &amp; Irob people. They are suffering existential consequences and are at the brink of extermination #CallItAGenocide #TigrayGenocide', 'World leaders and members of the &amp; G20, has failed to protect minority groups in #Tigray such as the Kunama &amp; Irob people. They are suffering existential consequences and are at the brink of extermination #CallItAGenocide #500DaysOfTigrayGenocide']"
1222,19,1222_peril_great peril_discontent_world great,"['peril', 'great peril', 'discontent', 'world great', 'russiaukrainewar health', 'unitednationsgeneralassembly russiaukrainewar', 'colossal global', 'global dysfunction', 'damned', 'world issues']","['🇺🇳#UN #chief #says #world ‘#in #peril and #paralysed’ #as #summit #convenes: At UN General Assembly, #Guterres warns leaders that nations are ‘gridlocked in colossal global dysfunction’, #under #shadow of #Ukraine war🇺🇳 #UkraineRussiaWar #GlobalDysfunction #UNgeneralAssembly', ""#UnitedNationsGeneralAssembly #RussiaUkrainewar #Health UN chief warns global leaders: The world is in 'great peril' - The Associated Press - en Español"", 'UN Chief Warns Global Leaders: The World Is in ‘Great Peril’ #UnitedNationsGeneralAssembly #RussiaUkrainewar #Health']"
1223,19,1223_nato stand_stand_stand russia_russia stand,"['nato stand', 'stand', 'stand russia', 'russia stand', 'stand nato', 'country lose', 'stand civilians', 'stand ukraine', 'ukraine stand', 'civilians country']","['I DO NOT STAND WITH #Ukraine I DO NOT STAND WITH #Russia I DO NOT STAND WITH THE #UnitedNations NOR #NATO I STAND WITH THE #civilians IN EACH COUNTRY WHO WILL LOSE EVERYTHING AND BE DISPLACED WHILE #politicians AND THE MEDIA PLAY #WarGames', 'I do not stand with #Ukraine I do not stand with #Russia I do not stand with #UN or #NATO I stand with the civilians in each and every country who will lose everything while the politicians and their #FakeNews media play propaganda and war games. #UkraineRussiaWar #ww3', 'I do not stand with #Ukraine I do not stand with #Russia I do not stand with #UN or #NATO I stand with the civilians in each and every country who will lose everything while the politicians and their #FakeNews media play propaganda and war games. #UkraineRussiaWar #NATO #UN']"
1224,19,1224_earth deserve_joy close_love joy_people earth,"['earth deserve', 'joy close', 'love joy', 'people earth', 'deserve live', 'peace love', 'live peace', 'joy', 'ukraine people', 'deserve']","['🇺🇦 All people on earth deserve to live in peace, love and joy!! CLOSE THE SKY OVER #UKRAINE NOW! ☀️ !', '❗🇺🇦All people on earth deserve to live in peace, love and joy!! CLOSE THE SKY OVER #UKRAINE NOW! !', '❗All people on earth deserve to live in peace, love and joy!! CLOSE THE SKY OVER #UKRAINE NOW!!! !']"
1225,19,1225_stormed security_meeting european_european council_council president,"['stormed security', 'meeting european', 'european council', 'council president', 'stormed', 'president blamed', 'blamed russia', 'ambassador storms', 'storms', 'causing global']","[""#Russia's UN ambassador has stormed out of a UN Security Council meeting after the European Council president blamed Russia's invasion of #Ukraine for causing a global food crisis."", ""#Russia's #UN ambassador has stormed out of a UN Security Council meeting after the European Council president blamed Russia's invasion of #Ukraine for causing a global food crisis (via"", ""#Russia's #UN ambassador has stormed out of a UN Security Council meeting after the European Council president blamed Russia's invasion of #Ukraine for causing a global food crisis.""]"
1226,19,1226_suffering inaction_tigrayans help_ongoing suffering_help taking,"['suffering inaction', 'tigrayans help', 'ongoing suffering', 'help taking', 'inaction ic', 'stop starving', 'destroying millions', 'days ongoing', 'action supporthr6600', 'starving children']","['Stop starving the children of #Tigray 558+days of ongoing suffering, the inaction of the IC is destroying millions of Tigrayans.Please help us by taking meaningful action to #SupportHR6600 #SupportS3199 #EndTigraySiege', 'Stop starving the children of #Tigray 559+days of ongoing suffering, the inaction of the IC is destroying millions of Tigrayans.Please help us by taking meaningful action to #SupportHR6600 #SupportS3199 #EndTigraySiege', 'Stop starving the children of #Tigray 560+days of ongoing suffering, the inaction of the IC is destroying millions of Tigrayans.Please help us by taking meaningful action to #SupportHR6600 #SupportS3199 #EndTigraySiege']"
1227,19,1227_women demand_demand peace_peace freedom_selenskyj,"['women demand', 'demand peace', 'peace freedom', 'selenskyj', 'russianinvasion stopputinnow', 'ukrainerussianwar russiaukrainewar', 'putin selenskyj', 'nato kriegsverbrechen', 'freedom frieden', 'kriegsverbrechen standwithukraine']","['Women demand peace and freedom! NOW! #Frieden #Peace #Saporischschja #Russland #Putin #Ukraine #Selenskyj #NATO #Kriegsverbrechen #StandWithUkraine #Politik #UkraineRussianWar #RussiaUkraineWar #Krieg #RussianInvasion #StopPutinNOW #Cherson #AKW #UN', 'Women demand peace and freedom! NOW! #Frieden #NATO #Kriegsverbrechen #StandWithUkraine #Ukraine #Politik #UkraineRussianWar #RussiaUkraineWar #Krieg #RussianInvasion #StopPutinNOW #UkraineNews #Russland #Saporischschja #AKW #Putin #Selenskyj #IAEA #AKW #UN', 'Women demand peace and freedom! NOW! #Frieden #NATO #Kriegsverbrechen #StandWithUkraine #Ukraine #Politik #UkraineRussianWar #RussiaUkraineWar #Krieg #RussianInvasion #StopPutinNOW #UkraineNews #Russland #Saporischschja #AKW #Putin #Selenskyj #IAEA #AKW #UN #UNO']"
1228,19,1228_morocco_mohammedvi_votation_mohammedvi friend,"['morocco', 'mohammedvi', 'votation', 'mohammedvi friend', 'isn morocco', 'morocco absent', 'friend ally', 'morocco mohammedvi', 'ukraine morocco', 'absent']","['#Morocco was absent at todays votation at the GA on #Ukraine. Why? Isn’t Morocco #MohammedVI a friend and ally of the USA and Europe? Isn’t Morocco supporting sovereignity and territorial integrity?', '#Morocco was absent at todays votation at the GA on #Ukraine. Why? Isn’t Morocco #MohammedVI a friend and ally of the USA and EU? Isn’t Morocco supporting sovereignity and territorial integrity?', '#Morocco was absent at the votation of the GA on #Ukraine. Why? Isn’t Morocco #MohammedVI a friend and ally of the USA and EU? Isn’t Morocco supporting sovereignity and territorial integrity?']"
1229,19,1229_farming_tigrayan farmers_protect tigrayan_farmers amp,"['farming', 'tigrayan farmers', 'protect tigrayan', 'farmers amp', 'stopstarvingtigray', 'famine stopstarvingtigray', 'deliberate campaign', 'unfolding tigray', 'act protect', 'stopstarvingtigray tigraycantwait']","['🗣👉A deliberate ""campaign"" to prevent farming is unfolding"" in Tigray. The must ACT NOW to protect Tigrayan farmers &amp; to stop an imminent famine. #StopStarvingTigray #TigrayCantWait', 'Z""deliberate ""campaign"" to prevent farming is unfolding"" in Tigray. The must ACT NOW to protect Tigrayan farmers &amp; to stop an imminent famine. #StopStarvingTigray #TigrayCantWait', '""A deliberate ""campaign"" to prevent farming is unfolding"" in Tigray. The must ACT NOW to protect Tigrayan farmers &amp; to stop an imminent famine. #StopStarvingTigray #TigrayCantWait']"
